Trial #,CS Timestamp,Airpuff,Tone
1,2025-05-24 16:26:32.748794,False,6
2,2025-05-24 16:26:50.395726,True,10
3,2025-05-24 16:27:10.994100,True,10
4,2025-05-24 16:27:26.436564,True,10
5,2025-05-24 16:27:57.227086,True,10
6,2025-05-24 16:28:10.783143,True,10
7,2025-05-24 16:28:35.422471,True,10
8,2025-05-24 16:28:50.079693,False,14
9,2025-05-24 16:28:59.085185,False,2
10,2025-05-24 16:29:13.337491,False,10
11,2025-05-24 16:29:23.094500,True,10
12,2025-05-24 16:29:38.922019,False,14
13,2025-05-24 16:29:51.197852,True,10
14,2025-05-24 16:30:05.243143,True,10
15,2025-05-24 16:30:20.337022,True,10
16,2025-05-24 16:30:37.043804,False,6
17,2025-05-24 16:30:52.026829,False,20
18,2025-05-24 16:31:01.867838,True,10
19,2025-05-24 16:31:12.259959,False,14
20,2025-05-24 16:31:26.495602,True,10
21,2025-05-24 16:31:41.107115,True,10
22,2025-05-24 16:31:52.092579,False,6
23,2025-05-24 16:32:06.836119,True,10
24,2025-05-24 16:32:20.080313,False,10
25,2025-05-24 16:32:37.077328,True,10
26,2025-05-24 16:32:53.919386,False,2
27,2025-05-24 16:33:08.960314,True,10
28,2025-05-24 16:33:17.282103,False,20
29,2025-05-24 16:33:32.975840,True,10
30,2025-05-24 16:33:46.897319,True,10
31,2025-05-24 16:33:58.779297,True,10
32,2025-05-24 16:34:08.307783,True,10
33,2025-05-24 16:34:24.346481,True,10
34,2025-05-24 16:34:41.475078,True,10
35,2025-05-24 16:35:04.327080,True,10
36,2025-05-24 16:35:17.913771,True,10
37,2025-05-24 16:35:28.663904,False,6
38,2025-05-24 16:35:43.225419,False,14
39,2025-05-24 16:35:52.574711,False,2
40,2025-05-24 16:36:03.176685,False,6
41,2025-05-24 16:36:15.456718,True,10
42,2025-05-24 16:36:27.961974,False,10
43,2025-05-24 16:36:43.028905,True,10
44,2025-05-24 16:36:52.299211,False,14
45,2025-05-24 16:37:07.463294,False,20
46,2025-05-24 16:37:20.543007,False,6
47,2025-05-24 16:37:33.724396,False,10
48,2025-05-24 16:37:45.743687,False,20
49,2025-05-24 16:37:59.802120,False,2
50,2025-05-24 16:38:09.219395,True,10
51,2025-05-24 16:38:17.538723,False,10
52,2025-05-24 16:38:28.451780,True,10
53,2025-05-24 16:38:38.308715,True,10
54,2025-05-24 16:38:47.966242,True,10
55,2025-05-24 16:39:00.888486,False,20
56,2025-05-24 16:39:09.999966,True,10
57,2025-05-24 16:39:20.663853,True,10
58,2025-05-24 16:39:28.975326,False,10
59,2025-05-24 16:39:38.996647,True,10
60,2025-05-24 16:39:55.006394,True,10
61,2025-05-24 16:40:11.002032,False,2
62,2025-05-24 16:40:23.483565,False,2
63,2025-05-24 16:40:36.721801,True,10
64,2025-05-24 16:40:51.350676,True,10
65,2025-05-24 16:40:59.670355,False,14
66,2025-05-24 16:41:11.648730,True,10
67,2025-05-24 16:41:29.072932,True,10
68,2025-05-24 16:41:37.529614,False,10
69,2025-05-24 16:41:52.890140,True,10
70,2025-05-24 16:42:12.080191,True,10
71,2025-05-24 16:42:22.176656,True,10
72,2025-05-24 16:42:34.103871,True,10
73,2025-05-24 16:42:49.102187,True,10
74,2025-05-24 16:43:01.979365,False,10
75,2025-05-24 16:43:15.482167,True,10
76,2025-05-24 16:43:32.199549,True,10
77,2025-05-24 16:43:48.719116,False,6
78,2025-05-24 16:44:01.688480,True,10
79,2025-05-24 16:44:17.122017,True,10
80,2025-05-24 16:44:31.290186,True,10
81,2025-05-24 16:44:49.584546,False,2
82,2025-05-24 16:45:01.158718,True,10
83,2025-05-24 16:45:12.513971,True,10
84,2025-05-24 16:45:27.764896,False,20
85,2025-05-24 16:45:41.025597,True,10
86,2025-05-24 16:45:55.417712,True,10
87,2025-05-24 16:46:08.267428,True,10
88,2025-05-24 16:46:18.449442,True,10
89,2025-05-24 16:46:26.757590,True,10
90,2025-05-24 16:46:39.518615,False,6
91,2025-05-24 16:46:55.654993,True,10
92,2025-05-24 16:47:07.730069,True,10
93,2025-05-24 16:47:16.123075,False,14
94,2025-05-24 16:47:30.626010,True,10
95,2025-05-24 16:47:46.846680,True,10
96,2025-05-24 16:48:00.027818,True,10
97,2025-05-24 16:48:48.182994,False,20
98,2025-05-24 16:50:00.107178,True,10
99,2025-05-24 16:50:51.344761,True,10
100,2025-05-24 16:51:14.869586,True,10
101,2025-05-24 16:51:40.732835,True,10
102,2025-05-24 16:52:46.966515,True,10
103,2025-05-24 16:53:08.899858,False,2
104,2025-05-24 16:53:25.079073,True,10
105,2025-05-24 16:57:16.113620,True,10
106,2025-05-24 16:57:46.962019,True,10
107,2025-05-24 17:02:01.140515,True,10
108,2025-05-24 17:02:24.108238,False,14
109,2025-05-24 17:02:45.144997,False,20
110,2025-05-24 17:02:59.671278,True,10
