Trial #,CS Timestamp,Airpuff
1,2025-05-18 18:51:09.246817,True
2,2025-05-18 18:51:27.934697,True
3,2025-05-18 18:51:37.355871,True
4,2025-05-18 18:51:51.501371,True
5,2025-05-18 18:52:05.712457,True
6,2025-05-18 18:52:21.909836,True
7,2025-05-18 18:52:33.309404,True
8,2025-05-18 18:52:46.232564,True
9,2025-05-18 18:52:56.254056,True
10,2025-05-18 18:53:06.128346,True
11,2025-05-18 18:53:16.205070,True
12,2025-05-18 18:53:27.315730,True
13,2025-05-18 18:53:42.720908,True
14,2025-05-18 18:53:52.187101,True
15,2025-05-18 18:54:04.698147,True
16,2025-05-18 18:54:19.903085,True
17,2025-05-18 18:54:36.962287,True
18,2025-05-18 18:54:48.423008,True
19,2025-05-18 18:55:05.402466,True
20,2025-05-18 18:55:22.463423,False
21,2025-05-18 18:55:33.831065,True
22,2025-05-18 18:55:50.453760,True
23,2025-05-18 18:56:12.551618,True
24,2025-05-18 18:56:20.882863,True
25,2025-05-18 18:56:34.212617,True
26,2025-05-18 18:56:45.062459,True
27,2025-05-18 18:56:53.860552,False
28,2025-05-18 18:57:06.693088,True
29,2025-05-18 18:57:23.851346,True
30,2025-05-18 18:57:38.184451,True
31,2025-05-18 18:57:50.834815,True
32,2025-05-18 18:58:05.055585,True
33,2025-05-18 18:58:14.865240,True
34,2025-05-18 18:58:27.882793,True
35,2025-05-18 18:58:36.204319,True
36,2025-05-18 18:58:52.536176,True
37,2025-05-18 18:59:06.232104,False
38,2025-05-18 18:59:19.206688,True
39,2025-05-18 18:59:35.076522,True
40,2025-05-18 18:59:43.383906,True
41,2025-05-18 18:59:56.450882,True
42,2025-05-18 19:00:13.768166,True
43,2025-05-18 19:00:22.075964,True
44,2025-05-18 19:00:38.382953,True
45,2025-05-18 19:00:53.603458,False
46,2025-05-18 19:01:08.223547,True
47,2025-05-18 19:01:23.673403,True
48,2025-05-18 19:01:36.429195,True
49,2025-05-18 19:01:51.858072,True
50,2025-05-18 19:02:07.726016,True
51,2025-05-18 19:02:23.382923,True
52,2025-05-18 19:02:38.296089,False
53,2025-05-18 19:02:51.133339,True
54,2025-05-18 19:03:02.626554,True
55,2025-05-18 19:03:17.813485,True
56,2025-05-18 19:03:31.270275,True
57,2025-05-18 19:03:43.759695,True
58,2025-05-18 19:03:59.356678,True
59,2025-05-18 19:04:13.206285,True
60,2025-05-18 19:04:23.672376,True
61,2025-05-18 19:04:36.188396,True
62,2025-05-18 19:04:47.824760,True
63,2025-05-18 19:05:02.132880,True
64,2025-05-18 19:05:12.708694,True
65,2025-05-18 19:05:24.848194,True
66,2025-05-18 19:05:41.025741,True
67,2025-05-18 19:05:54.489798,False
68,2025-05-18 19:06:07.385627,True
69,2025-05-18 19:06:18.950409,True
70,2025-05-18 19:06:27.265698,True
71,2025-05-18 19:06:36.949239,True
72,2025-05-18 19:06:48.665982,True
73,2025-05-18 19:07:00.417895,True
74,2025-05-18 19:07:12.357021,True
75,2025-05-18 19:07:21.583462,True
76,2025-05-18 19:07:31.932871,True
77,2025-05-18 19:07:44.360852,True
78,2025-05-18 19:07:57.753088,True
79,2025-05-18 19:08:06.095917,True
80,2025-05-18 19:08:20.070436,True
81,2025-05-18 19:08:32.067367,False
82,2025-05-18 19:08:48.079996,True
83,2025-05-18 19:09:03.735577,True
84,2025-05-18 19:09:13.594906,True
85,2025-05-18 19:09:25.076883,False
86,2025-05-18 19:09:33.393731,True
87,2025-05-18 19:09:46.009571,True
88,2025-05-18 19:09:56.525580,True
89,2025-05-18 19:10:06.388617,True
90,2025-05-18 19:10:17.799604,True
91,2025-05-18 19:10:31.726858,True
92,2025-05-18 19:10:50.670692,True
93,2025-05-18 19:11:03.391155,True
94,2025-05-18 19:11:13.313917,False
95,2025-05-18 19:11:21.648733,True
96,2025-05-18 19:11:37.282745,True
97,2025-05-18 19:11:51.662840,True
98,2025-05-18 19:12:03.997177,True
99,2025-05-18 19:12:21.443480,True
100,2025-05-18 19:12:32.232807,True
101,2025-05-18 19:12:46.712438,True
102,2025-05-18 19:13:00.141643,True
103,2025-05-18 19:13:08.458485,False
104,2025-05-18 19:13:19.333061,True
105,2025-05-18 19:13:27.661410,True
106,2025-05-18 19:13:42.192171,True
107,2025-05-18 19:13:54.215441,True
108,2025-05-18 19:14:04.992089,True
109,2025-05-18 19:14:14.924945,True
110,2025-05-18 19:14:26.736261,True
