Timestamp,Trial #,FEC
2025-05-19 14:40:28.184272,1,7
2025-05-19 14:40:28.211297,1,7
2025-05-19 14:40:28.258316,1,8
2025-05-19 14:40:28.293097,1,18
2025-05-19 14:40:28.339994,1,22
2025-05-19 14:40:28.376677,1,19
2025-05-19 14:40:28.423570,1,18
2025-05-19 14:40:28.470434,1,17
2025-05-19 14:40:28.517268,1,16
2025-05-19 14:40:28.564133,1,57
2025-05-19 14:40:28.595411,1,100
2025-05-19 14:40:28.642240,1,100
2025-05-19 14:40:28.689106,1,100
2025-05-19 14:40:28.727245,1,100
2025-05-19 14:40:28.777114,1,95
2025-05-19 14:40:28.827125,1,72
2025-05-19 14:40:28.860573,1,94
2025-05-19 14:40:28.910844,1,100
2025-05-19 14:40:28.960128,1,84
2025-05-19 14:40:28.994147,1,59
2025-05-19 14:40:29.043870,1,50
2025-05-19 14:40:29.077342,1,43
2025-05-19 14:40:29.127660,1,47
2025-05-19 14:40:29.177387,1,42
2025-05-19 14:40:29.210854,1,42
2025-05-19 14:40:29.260734,1,41
2025-05-19 14:40:29.294511,1,40
2025-05-19 14:40:29.344248,1,40
2025-05-19 14:40:29.394295,1,40
2025-05-19 14:40:29.428050,1,39
2025-05-19 14:40:29.478323,1,40
2025-05-19 14:40:29.527626,1,39
2025-05-19 14:40:29.559737,1,38
2025-05-19 14:40:29.606570,1,40
2025-05-19 14:40:29.653463,1,41
2025-05-19 14:40:29.700328,1,49
2025-05-19 14:40:29.747191,1,50
2025-05-19 14:40:29.778443,1,49
2025-05-19 14:40:29.856546,1,100
2025-05-19 14:40:29.872133,1,100
2025-05-19 14:40:29.908743,1,80
2025-05-19 14:40:29.955638,1,100
2025-05-19 14:40:30.002507,1,97
2025-05-19 14:40:30.049368,1,65
2025-05-19 14:40:30.096202,1,49
2025-05-19 14:40:30.127483,1,51
2025-05-19 14:40:30.174343,1,47
2025-05-19 14:40:30.221209,1,45
2025-05-19 14:40:30.268065,1,43
2025-05-19 14:40:30.314931,1,39
2025-05-19 14:40:30.346181,1,43
2025-05-19 14:40:30.393042,1,41
2025-05-19 14:40:30.445496,1,43
2025-05-19 14:40:30.497099,1,37
2025-05-19 14:40:30.532279,1,40
2025-05-19 14:40:30.577545,1,41
2025-05-19 14:40:30.608823,1,38
2025-05-19 14:40:30.655651,1,36
2025-05-19 14:40:30.708249,1,35
2025-05-19 14:40:30.742657,1,37
2025-05-19 14:40:30.789522,1,33
2025-05-19 14:40:30.847764,1,27
2025-05-19 14:40:30.883260,1,26
2025-05-19 14:40:30.931272,1,24
2025-05-19 14:40:30.963127,1,30
2025-05-19 14:40:31.014666,1,22
2025-05-19 14:40:31.058057,1,22
2025-05-19 14:40:31.102843,1,23
2025-05-19 14:40:31.147078,1,25
2025-05-19 14:40:31.188452,1,24
2025-05-19 14:40:31.248734,1,16
2025-05-19 14:40:31.279458,1,19
2025-05-19 14:40:31.319509,1,23
2025-05-19 14:40:31.366775,1,15
2025-05-19 14:40:31.408731,1,17
2025-05-19 14:40:31.472255,1,19
2025-05-19 14:40:31.497081,1,18
2025-05-19 14:40:31.530594,1,15
2025-05-19 14:40:31.578831,1,16
2025-05-19 14:40:31.625725,1,15
2025-05-19 14:40:31.656971,1,12
2025-05-19 14:40:31.703837,1,7
2025-05-19 14:40:31.750666,1,11
2025-05-19 14:40:31.797560,1,15
2025-05-19 14:40:31.843448,1,14
