Timestamp,Trial #,FEC
2025-05-16 15:47:08.583998,1,0
2025-05-16 15:47:08.624637,1,0
2025-05-16 15:47:08.671614,1,0
2025-05-16 15:47:08.705948,1,0
2025-05-16 15:47:08.752765,1,0
2025-05-16 15:47:08.799659,1,0
2025-05-16 15:47:08.830905,1,0
2025-05-16 15:47:08.877769,1,0
2025-05-16 15:47:08.924599,1,0
2025-05-16 15:47:08.971464,1,4
2025-05-16 15:47:09.018356,1,100
2025-05-16 15:47:09.049603,1,91
2025-05-16 15:47:09.096467,1,80
2025-05-16 15:47:09.143331,1,67
2025-05-16 15:47:09.190197,1,52
2025-05-16 15:47:09.237054,1,46
2025-05-16 15:47:09.268269,1,42
2025-05-16 15:47:09.315166,1,39
2025-05-16 15:47:09.362031,1,35
2025-05-16 15:47:09.408890,1,33
2025-05-16 15:47:09.455755,1,32
2025-05-16 15:47:09.486998,1,31
2025-05-16 15:47:09.533862,1,29
2025-05-16 15:47:09.580725,1,20
2025-05-16 15:47:09.627588,1,23
2025-05-16 15:47:09.674452,1,13
2025-05-16 15:47:09.705696,1,1
2025-05-16 15:47:09.752559,1,0
2025-05-16 15:47:09.799432,1,0
2025-05-16 15:47:09.846287,1,0
2025-05-16 15:47:09.893151,1,0
2025-05-16 15:47:09.924403,1,0
2025-05-16 15:47:09.971264,1,0
2025-05-16 15:47:10.018132,1,0
2025-05-16 15:47:10.064988,1,0
2025-05-16 15:47:10.111853,1,0
2025-05-16 15:47:10.143098,1,0
2025-05-16 15:47:10.189962,1,0
2025-05-16 15:47:10.236828,1,0
2025-05-16 15:47:10.283686,1,0
2025-05-16 15:47:10.330552,1,0
2025-05-16 15:47:10.361797,1,0
2025-05-16 15:47:10.408665,1,0
2025-05-16 15:47:10.455528,1,0
2025-05-16 15:47:10.502384,1,0
2025-05-16 15:47:10.549220,1,0
2025-05-16 15:47:10.580498,1,0
2025-05-16 15:47:10.627360,1,0
2025-05-16 15:47:10.674195,1,0
2025-05-16 15:47:10.721084,1,0
2025-05-16 15:47:10.767920,1,0
2025-05-16 15:47:10.799194,1,0
2025-05-16 15:47:10.846060,1,0
2025-05-16 15:47:10.892923,1,0
2025-05-16 15:47:10.939758,1,0
2025-05-16 15:47:10.986618,1,0
2025-05-16 15:47:11.017861,1,0
2025-05-16 15:47:11.064760,1,0
2025-05-16 15:47:11.111622,1,0
2025-05-16 15:47:11.158498,1,0
2025-05-16 15:47:11.205346,1,0
2025-05-16 15:47:11.236592,1,0
2025-05-16 15:47:11.283463,1,0
2025-05-16 15:47:11.330323,1,0
2025-05-16 15:47:11.377180,1,0
2025-05-16 15:47:11.424047,1,0
2025-05-16 15:47:11.455293,1,0
2025-05-16 15:47:11.502158,1,0
2025-05-16 15:47:11.549021,1,0
